name,id,group,Rank,Rating,Reviews,Min Installs,Price,Rank Change (week)
Friendly Fire!,0,Arcade,287,4.17,71749,1000000,0,19
Battle Beach,0,Arcade,288,4.4,55850,1000000,0,-200
Need for Speed_†¢ Most Wanted,0,Racing,289,3.84,17983,500000,4.99,31
Noom Weight Loss Coach,0,Health & Fitness,290,4.32,117796,10000000,0,18
Cut the Rope 2,0,Puzzle,291,4.3,672452,10000000,0,34
Slots Oz_†¢ - slot machines,0,Casino,292,4.16,4469,100000,0,-62
4 Pics 1 Word,0,Word,293,4.49,653182,10000000,0,16
The Oregon Trail: Settler,0,Casual,294,4.46,212643,5000000,0,69
Photo Editor by Aviary,0,Photography,295,4.48,801335,50000000,0,5
Meow Meow Star Acres,0,Educational,296,4.35,38342,500000,0,47
Slots Zeus's Way:slot machines,0,Casino,297,4.28,10670,500000,0,22
Slots Journey 2,0,Casino,298,4.37,21034,100000,0,-15
Dream Fish,0,Casual,299,4.36,20466,500000,0,32
NCLEX RN Mastery,0,Education,300,4.72,122,1000,19.99,
Dungeon Hunter 4,0,Role Playing,301,4.38,482544,5000000,0,37
Motor World Car Factory,0,Racing,302,4.34,74301,1000000,0,15
Solitaire Arena,0,Card,303,4.32,26288,500000,0,6
Restaurant Story_†¢,0,Casual,304,4.32,268516,10000000,0,-3
The Gate - Free RTS CCG game,0,Action,305,3.99,15820,100000,0,50
Chicken Boy,0,Action,306,4.11,28544,1000000,0,
Survivalcraft,0,Action,307,4.39,26849,500000,3.99,25
Big Barn World Social Farming,0,Casual,308,4.32,2420,50000,0,-28
GT Racing 2: The Real Car Exp,0,Racing,309,4.31,577181,10000000,0,-24
_ô_‘ÒÊ‘è‹ONLINE,0,Puzzle,310,3.93,1185,100000,0,-41
The Tribez & Castlez,0,Arcade,311,4.19,52782,500000,0,17
KakaoTalk: Free Calls & Text,0,Communication,312,4.36,1628066,100000000,0,-59
Exchange by TouchDown Key,0,Business,313,4.42,6184,100000,19.99,-4
Sonic Dash,0,Arcade,314,4.41,818426,10000000,0,14
•_Î–__ê†ç êôô•__–ùâêôç for Kakao,0,Role Playing,315,4.43,1164752,5000000,0,67
Dropbox,0,Productivity,316,4.51,655202,100000000,0,-19
Smash Hit,0,Arcade,317,4.43,1131443,10000000,0,12
•_Œ•¥ê–ùÉ•__•ôÓ for Kakao,0,Board,318,4.22,1231382,10000000,0,80
textPlus Free Text + Calls,0,Social,319,4.17,211683,10000000,0,45
"Skout - Meet, Chat, Friend",0,Social,320,4.15,289130,10000000,0,-12
Modern Combat 4: Zero Hour,0,Action,321,4.43,134151,500000,6.99,0
Geocaching,0,Entertainment,322,4.24,14401,100000,9.99,-9
Dice With Buddies_†¢,0,Board,323,4.46,5438,50000,2.99,5
Disney Hidden Worlds,0,Casual,324,3.84,69795,1000000,0,33
The Sims_†¢ 3,0,Simulation,325,3.38,14247,100000,6.99,33
PBAëå Bowling Challenge,0,Sports,326,4.45,123177,5000000,0,24
Dragon Era - Slots Card RPG,0,Role Playing,327,4.08,4522,100000,0,-11
Nova Launcher Prime,0,Personalization,328,4.77,76059,500000,4,-27
Terraria.,0,Adventure,329,4.39,19402,100000,4.99,21
Episode - Choose Your Story,0,Simulation,330,4.01,61410,1000000,0,-10
Monster Match,0,Puzzle,331,4.23,23613,1000000,0,46
Badoo - Meet New People,0,Social,332,4.47,1076965,10000000,0,-35
Odd Socks,0,Family,333,4.26,20595,500000,0,-4
Village Life: Love & Babies,0,Adventure,334,4.2,10806,100000,0,4
Slots Bash - Free Casino,0,Casino,335,4.07,8094,500000,0,6
Words of Wonder,0,Word,336,3.94,26009,1000000,0,8
Slots Paradise_†¢,0,Casino,337,4.31,12029,100000,0,-55
NBA 2K14,0,Sports,338,4.18,4323,10000,2.99,58
Reign of Summoners 2014,0,Card,339,3.86,1607,100000,0,28
Poweramp Full Version Unlocker,0,Music & Audio,340,4.67,94110,1000000,3.99,-8
Torque Pro (OBD 2 & Car),0,Communication,341,4.69,23042,100000,4.95,2
Treasure Diving,0,Adventure,342,4.64,95526,1000000,0,28
Dark Avenger,0,Role Playing,343,4.49,355553,5000000,0,-61
Disco Zoo,0,Casual,344,4.48,39950,100000,0,19
Plex for Android,0,Media & Video,345,4.36,15328,100000,4.99,-1
Slots Social Casino,0,Casino,346,4.05,57480,5000000,0,65
Spy Wars,0,Strategy,347,4.19,17622,100000,0,-98
Casino X_†¢ - FREE NEW SLOTS,0,Casino,348,4.2,4517,500000,0,-46
PicsArt - Photo Studio,0,Photography,349,4.53,2055489,100000000,0,-81
Nitro Nation,0,Racing,350,4.04,47819,1000000,0,49
Udemy,0,Education,351,4.31,7559,100000,0,
Jewels Saga,0,Arcade,352,4.48,316192,10000000,0,-60
GolfLogix #1 Free Golf GPS App,0,Sports,353,3.99,7117,1000000,0,-80
Forces of War,0,Role Playing,354,4.43,20804,1000000,0,-139
ç‚___Ó__Ê‘çÓ,0,Puzzle,355,4.4,451586,5000000,0,60
Vonage Mobileëå Call Video Text,0,Communication,356,4.15,18021,1000000,0,-44
Top Farm,0,Simulation,357,4.13,48125,1000000,0,-51
Lies Of Astaroth,0,Card,358,4.01,5269,100000,0,
VSCO Camëå,0,Photography,359,4.27,68652,1000000,0,
Fishing Superstars: Season 2,0,Sports,360,4.39,198890,10000000,0,57
Shall we date?: Ninja Love+,0,Adventure,361,4.35,9702,100000,0,65
Enemy Lines-Real-Time Strategy,0,Strategy,362,4.35,61862,1000000,0,-3
Star Wars: Tiny Death Star,0,Simulation,363,3.9,106882,1000000,0,
Temple Run 2,0,Action,364,4.37,2391040,100000000,0,3
Slots Wheel Deal _Ñ_ free slots,0,Casino,365,4.24,10788,1000000,0,42
Mad Skills Motocross 2,0,Racing,366,3.98,92066,1000000,0,2
Dragon Mania,0,Casual,367,4.14,201226,5000000,0,-14
Galaxy Empire,0,Strategy,368,4.04,43804,1000000,0,117
Dawn of the Dragons,0,Role Playing,369,4.28,11448,500000,0,-15
Growtopia,0,Adventure,370,4.16,48174,500000,0,-9
Heads Up!,0,Word,371,4.52,6972,100000,0.99,5
Mobile Security & Antivirus,0,Tools,372,4.43,1196992,50000000,0,-27
AllCast Premium,0,Entertainment,373,4.22,5273,50000,4.99,4
CONTRACT KILLER 2,0,Action,374,4.37,308702,5000000,0,-27
STARDOM: HOLLYWOOD,0,Adventure,375,4.41,78453,1000000,0,26
Doctor Who: Legacy,0,Puzzle,376,4.29,22431,500000,0,
Angry Birds Rio,0,Arcade,377,4.44,1116491,100000000,0,5
The Amazing Spider-Man,0,Action,378,3.91,66027,500000,6.99,-11
Truck GPS Route Navigation,0,Transportation,379,4.28,1004,100000,0,-38
Dynasty Warlord,0,Strategy,380,4.06,15385,100000,0,4
SuperGNES (SNES Emulator),0,Arcade,381,4.35,17460,500000,3.99,24
Shall we date?: MySweetPrince+,0,Adventure,382,4.25,11336,100000,0,12
PokerStars Lite - Free Poker,0,Card,383,4.48,72696,1000000,0,-13
Scramble With Friends,0,Word,384,4.48,32558,100000,1.99,9
Texas Holdem Poker-Poker KinG,0,Card,385,4.29,11714,100000,0,32
Battle Nations,0,Strategy,386,3.96,10109,100000,0,18
Grand Theft Auto III,0,Action,387,3.69,54098,1000000,4.99,1
Call of Duty Black Ops Zombies,0,Action,388,4.05,19106,100000,6.99,-14
Big Business Deluxe,0,Simulation,389,4.44,55345,500000,0,29
Chaos Fighters,0,Adventure,390,4.14,455,10000,0,
