rank,title,developer,version,price_usd,rating,votes,content_rating,category,min_installs,max_installs,updated,rank_change_day,rank_change_week,store_url
59,Subway Surfers,Kiloo,1.23.0,$0.00 ,4.49,6979373,Low Maturity,Arcade,100000000,500000000,5/8/14,0,1,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf
60,Fantasica,Mobage,1.11.1.4.2,$0.00 ,4.41,78829,Low Maturity,Casual,1000000,5000000,1/6/14,3,9,https://play.google.com/store/apps/details?id=com.mobage.ww.a793.fanta_test_Android
61,8 Ball Pool,Miniclip.com,2.4.2,$0.00 ,4.42,883234,Low Maturity,Sports,10000000,50000000,4/16/14,1,-3,https://play.google.com/store/apps/details?id=com.miniclip.eightballpool
62,Juice Cubes,Rovio Stars Ltd.,1.18.05,$0.00 ,4.15,199382,Low Maturity,Puzzle,10000000,50000000,4/9/14,1,-1,https://play.google.com/store/apps/details?id=ppl.unity.JuiceCubesBeta
63,CSI: Hidden Crimes,Ubisoft Entertainment,1.6.0,$0.00 ,4.16,66138,Medium Maturity,Puzzle,1000000,5000000,4/29/14,-3,-189,https://play.google.com/store/apps/details?id=air.com.ubisoft.csi.HiddenCrimes
64,Heroes of Dragon Age,Electronic Arts Inc,1.9.0,$0.00 ,4.23,43544,Medium Maturity,Action,500000,1000000,4/29/14,1,-6,https://play.google.com/store/apps/details?id=com.ea.game.dragonage_na
65,Heroes of Camelot,Kabam,Varies with device,$0.00 ,4.35,140031,Low Maturity,Card,1000000,5000000,4/30/14,0,-21,https://play.google.com/store/apps/details?id=com.kabam.newcnhoc
66,World Series of Poker â€“ WSOP,Playtika,2.3.0,$0.00 ,4.3,33812,Medium Maturity,Card,1000000,5000000,4/9/14,-3,-15,https://play.google.com/store/apps/details?id=com.playtika.wsop.gp
67,Jungle Heat,MY.COM,1.5.0,$0.00 ,4.5,371968,Medium Maturity,Strategy,5000000,10000000,4/18/14,3,15,https://play.google.com/store/apps/details?id=ru.mail.games.android.JungleHeat
68,CastleVille Legends,Crash Lab Limited,2.5.242,$0.00 ,4.19,184988,Medium Maturity,Family,1000000,5000000,5/9/14,1,2,https://play.google.com/store/apps/details?id=com.zynga.castlevillelegends
69,Spartan Wars: Empire of Honor,tap4fun,1.1.8,$0.00 ,4.27,115258,Everyone,Strategy,5000000,10000000,4/23/14,-1,0,https://play.google.com/store/apps/details?id=com.tap4fun.spartanwar
70,Ace Fishing: Wild Catch,Com2uS,1.0.9,$0.00 ,4.42,325714,Everyone,Sports,1000000,5000000,4/30/14,2,11,https://play.google.com/store/apps/details?id=com.com2us.acefishing.normal.freefull.google.global.android.common
71,MyNBA2K14,"2K Games, Inc.",1.5.0.90552,$0.00 ,4.01,40046,Everyone,Sports,1000000,5000000,5/5/14,-1,-58,https://play.google.com/store/apps/details?id=com.catdaddy.nba2kmobile
72,Tyrant Unleashed,Kongregate,1.26.2,$0.00 ,3.98,39915,Everyone,Strategy,1000000,5000000,4/30/14,-10,-3,https://play.google.com/store/apps/details?id=com.kongregate.mobile.tyrant.google
73,Forest Maniaâ„¢,yang suhongs,1.5,$0.00 ,4.24,15945,Everyone,Puzzle,500000,1000000,5/6/14,-4,-65,https://play.google.com/store/apps/details?id=com.spacegame.forestmania
74,Jelly Splash,Wooga,Varies with device,$0.00 ,4.15,286231,Everyone,Puzzle,10000000,50000000,4/28/14,3,1,https://play.google.com/store/apps/details?id=com.wooga.jelly_splash
75,Slots Fever - Free Slots,Kakapo,1.06,$0.00 ,4.09,25855,Medium Maturity,Casino,1000000,5000000,3/16/14,-1,-1,https://play.google.com/store/apps/details?id=com.kakapo.freeslots
76,DoubleU Casino - FREE Slots,DoubleUGames,2.2.1,$0.00 ,4.42,13123,Medium Maturity,Casino,100000,500000,5/7/14,2,-3,https://play.google.com/store/apps/details?id=com.doubleugames.DoubleUCasino
77,Monster Busters,PurpleKiwii,1.0.26,$0.00 ,4.59,88453,Everyone,Puzzle,1000000,5000000,5/1/14,-3,-17,https://play.google.com/store/apps/details?id=com.purplekiwii.mb
78,Real Racing 3,Electronic Arts Inc,2.2.0,$0.00 ,4.13,49997,Low Maturity,Racing,5000000,10000000,4/15/14,5,7,https://play.google.com/store/apps/details?id=com.ea.games.r3_na
79,OkCupid Dating,okcupid.com,3.2.5,$0.00 ,4.24,99228,Low Maturity,Social,1000000,5000000,4/29/14,1,2,https://play.google.com/store/apps/details?id=com.okcupid.okcupid
80,Plants vs. Zombiesâ„¢ 2,Electronic Arts Inc,2.2.2,$0.00 ,4.21,140245,Low Maturity,Casual,1000000,5000000,4/30/14,-3,-15,https://play.google.com/store/apps/details?id=com.ea.game.pvz2_na
81,Best Casino - Slot Machines,diwip ltd,1.25,$0.00 ,4.6,105907,Medium Maturity,Casino,1000000,5000000,4/8/14,2,3,https://play.google.com/store/apps/details?id=com.diwip.vslots
82,Greed for Glory: War Strategy,PerBlue,Varies with device,$0.00 ,4.44,70190,Medium Maturity,Strategy,1000000,5000000,5/2/14,7,25,https://play.google.com/store/apps/details?id=com.perblue.greedforglory
